,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,VU-ARF,VU-ARFre,OALE,CALMID
54,0.75723419,0.745181874,0.758317723,0.74634588,0.750497116,0.74708031,0.751041954,0.751689051,0.748904036,0.752859233
55,0.71717652,0.703958346,0.721220771,0.711024139,0.716389913,0.712444105,0.706632572,0.705627156,0.709199445,0.707119573
56,0.71766918,0.711982801,0.72080061,0.701044778,0.71220584,0.707414433,0.705295973,0.708460887,0.704761759,0.718107723
57,0.720743917,0.717002438,0.722166723,0.712875067,0.711059131,0.713735225,0.703024528,0.704435684,0.712024026,0.714255488
58,0.76132398,0.748968801,0.762555962,0.751905386,0.753363395,0.752097344,0.754222787,0.751597483,0.748293495,0.753498157
59,0.71886751,0.707999758,0.72249298,0.700788972,0.697902245,0.712789324,0.704395423,0.705029575,0.704749784,0.713863607
60,0.684288771,0.682473971,0.708755901,0.679827206,0.677022569,0.675187709,0.66767066,0.666357539,0.680038424,0.686627952
61,0.752481666,0.747526545,0.759072117,0.750998677,0.754290776,0.741874981,0.745370305,0.745133816,0.750427687,0.751318299
62,0.754463734,0.743296089,0.754214613,0.753966851,0.745755205,0.740370525,0.738979622,0.7371257,0.74594951,0.747860587
63,0.750471367,0.75005022,0.756754068,0.754635052,0.748086203,0.743909648,0.743028792,0.727495974,0.750303518,0.746626626
64,0.822073753,0.817657525,0.817007197,0.821491732,0.821000179,0.816508822,0.817969675,0.815832531,0.817066959,0.820732725
65,0.822025835,0.818834446,0.819346281,0.821731915,0.821528432,0.817120619,0.818992452,0.818915022,0.816050794,0.820519206
66,0.710370488,0.699049205,0.715876341,0.697546635,0.704030392,0.693291412,0.68439934,0.676161295,0.70778858,0.706640251
67,0.718732535,0.710705446,0.721043938,0.706668578,0.699874528,0.696578989,0.700332068,0.68761573,0.714096092,0.708579166
68,0.721264561,0.697931329,0.724733253,0.713151005,0.717778827,0.708012652,0.704612155,0.712145679,0.711371959,0.711738923
69,0.765461049,0.761256502,0.764807914,0.763785091,0.760603266,0.761074981,0.758937257,0.759356081,0.75800702,0.765123552
